!!SBtab TableName='RateConstant' TableType='Quantity' Document='Carlson model' SBtabVersion='1.0'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	R54ra		0.0022582413	dimensionless
equilibrium constant	R54rb		2767.6607	dimensionless
equilibrium constant	R13r		3.6538527	dimensionless
equilibrium constant	R26r		0.52174352	dimensionless
equilibrium constant	R15r		37.50713	dimensionless
equilibrium constant	R96		1.0039831	dimensionless
equilibrium constant	R94		1.0023798	dimensionless
equilibrium constant	R95		1.0009465	dimensionless
equilibrium constant	R93		0.99061062	dimensionless
equilibrium constant	R90		1.0046131	dimensionless
equilibrium constant	R91		1.0035039	dimensionless
equilibrium constant	R8r		3.5014543	dimensionless
equilibrium constant	R10a		0.27692024	dimensionless
equilibrium constant	R10b		0.75223626	dimensionless
equilibrium constant	R10c		0.019818848	dimensionless
equilibrium constant	R28r		4.7316568	dimensionless
equilibrium constant	R3		1.1639489	dimensionless
equilibrium constant	R70		1.0027421	dimensionless
equilibrium constant	R6r		11.249283	dimensionless
equilibrium constant	R97r		1.0034668	dimensionless
equilibrium constant	R2r		0.50987024	dimensionless
equilibrium constant	R55a		0.22758352	dimensionless
equilibrium constant	R55b		1.3677156	dimensionless
equilibrium constant	R4		5.360918	dimensionless
equilibrium constant	R12r		2.3233211	dimensionless
equilibrium constant	R1		0.97857957	dimensionless
equilibrium constant	R27		6.9747501	dimensionless
equilibrium constant	R27b		0.84263136	dimensionless
equilibrium constant	R23r		0.073843788	dimensionless
equilibrium constant	R9		11.856499	dimensionless
equilibrium constant	R14r		0.89996461	dimensionless
equilibrium constant	RR9		0.52627971	dimensionless
equilibrium constant	R53r		20577.22	dimensionless
equilibrium constant	R80		0.94187484	dimensionless
equilibrium constant	R82		0.71711115	dimensionless
equilibrium constant	R29r		6.1103599e-05	dimensionless
equilibrium constant	R7ra		0.088486876	dimensionless
equilibrium constant	R7rb		727.33174	dimensionless
equilibrium constant	R7rc		0.16087119	dimensionless
equilibrium constant	R41		0.015992441	dimensionless
equilibrium constant	R40		0.2826712	dimensionless
equilibrium constant	R11r		2.3258292	dimensionless
equilibrium constant	R42		22.074532	dimensionless
equilibrium constant	R5r		0.00029761494	dimensionless
equilibrium constant	R25		4.0906559	dimensionless
equilibrium constant	R24		1.8431281	dimensionless
equilibrium constant	R22		6.4281674	dimensionless
equilibrium constant	R21		2.4922103	dimensionless
equilibrium constant	R20		49.260684	dimensionless
equilibrium constant	R60		21.115915	dimensionless
equilibrium constant	R61r		0.0095735331	dimensionless
catalytic rate constant geometric mean	R54ra		3.4281723	1/s
catalytic rate constant geometric mean	R54rb		100	1/s
catalytic rate constant geometric mean	R13r		100	1/s
