,efm,reaction,metabolite,dq/dKm,dlogq/dlogKm,dmu/dKm,dlogmu/dlogKm
0,1015,R91,acetate,2.34e-02,7.63e-04,-3.16e-04,-3.97e-06
1,1015,R91,acetateExt,-2.12e-03,-6.93e-05,2.87e-05,3.60e-07
2,1016,R91,acetate,1.36e-02,1.83e-03,-2.57e-03,-1.78e-05
3,1016,R91,acetateExt,-1.24e-03,-1.66e-04,2.33e-04,1.61e-06
4,1049,R91,acetate,4.28e-03,4.99e-04,-6.30e-04,-2.15e-06
5,1049,R91,acetateExt,-3.89e-04,-4.53e-05,5.72e-05,1.96e-07
6,1071,R91,acetate,3.90e-03,2.48e-03,-7.97e-03,-2.52e-05
7,1071,R91,acetateExt,-3.54e-04,-2.26e-04,7.23e-04,2.29e-06
8,1107,R91,acetate,1.70e-03,2.26e-04,-3.16e-04,-9.24e-07
9,1107,R91,acetateExt,-1.54e-04,-2.05e-05,2.87e-05,8.40e-08
10,1111,R91,acetate,1.70e-03,2.27e-04,-3.19e-04,-9.44e-07
11,1111,R91,acetateExt,-1.55e-04,-2.07e-05,2.90e-05,8.57e-08
12,1148,R91,acetate,3.26e-03,2.11e-03,-6.79e-03,-1.93e-05
13,1148,R91,acetateExt,-2.95e-04,-1.91e-04,6.16e-04,1.76e-06
14,1155,R91,acetate,3.24e-03,2.11e-03,-6.81e-03,-1.90e-05
15,1155,R91,acetateExt,-2.94e-04,-1.92e-04,6.18e-04,1.73e-06
16,117,R91,acetate,1.39e-02,1.84e-03,-2.57e-03,-1.81e-05
17,117,R91,acetateExt,-1.26e-03,-1.67e-04,2.34e-04,1.65e-06
18,1182,R91,acetate,1.71e-03,2.29e-04,-3.23e-04,-9.64e-07
19,1182,R91,acetateExt,-1.55e-04,-2.08e-05,2.93e-05,8.76e-08
20,1185,R91,acetate,1.00e-03,1.06e-04,-1.25e-04,-1.40e-07
21,1185,R91,acetateExt,-9.10e-05,-9.67e-06,1.13e-05,1.27e-08
22,1203,R91,acetate,1.68e-03,2.08e-04,-2.75e-04,-6.50e-07
23,1203,R91,acetateExt,-1.53e-04,-1.89e-05,2.50e-05,5.90e-08
24,1213,R91,acetate,3.27e-03,2.10e-03,-6.77e-03,-1.96e-05
25,1213,R91,acetateExt,-2.97e-04,-1.91e-04,6.14e-04,1.78e-06
26,1215,R91,acetate,1.71e-03,1.26e-03,-4.16e-03,-4.75e-06
27,1215,R91,acetateExt,-1.55e-04,-1.14e-04,3.77e-04,4.31e-07
28,1219,R91,acetate,2.58e-03,1.76e-03,-5.73e-03,-1.03e-05
29,1219,R91,acetateExt,-2.34e-04,-1.60e-04,5.20e-04,9.32e-07
30,1240,R91,acetate,2.33e-04,2.55e-05,-3.05e-05,-1.22e-08
31,1240,R91,acetateExt,-2.12e-05,-2.31e-06,2.77e-06,1.11e-09
32,125,R91,acetate,2.38e-02,7.71e-04,-3.16e-04,-4.05e-06
33,125,R91,acetateExt,-2.16e-03,-7.01e-05,2.87e-05,3.68e-07
34,1250,R91,acetate,2.35e-02,7.64e-04,-3.15e-04,-3.98e-06
35,1250,R91,acetateExt,-2.14e-03,-6.95e-05,2.86e-05,3.61e-07
36,1254,R91,acetate,1.37e-02,1.83e-03,-2.56e-03,-1.78e-05
37,1254,R91,acetateExt,-1.24e-03,-1.66e-04,2.33e-04,1.62e-06
38,1265,R91,acetate,2.35e-02,7.66e-04,-3.17e-04,-4.00e-06
39,1265,R91,acetateExt,-2.13e-03,-6.96e-05,2.88e-05,3.63e-07
40,1270,R91,acetate,1.76e-03,2.35e-04,-3.30e-04,-9.98e-07
41,1270,R91,acetateExt,-1.60e-04,-2.14e-05,3.00e-05,9.07e-08
42,128,R91,acetate,1.41e-02,1.85e-03,-2.56e-03,-1.83e-05
43,128,R91,acetateExt,-1.28e-03,-1.68e-04,2.33e-04,1.66e-06
44,1281,R91,acetate,1.37e-02,1.83e-03,-2.58e-03,-1.80e-05
45,1281,R91,acetateExt,-1.25e-03,-1.67e-04,2.34e-04,1.63e-06
46,1304,R91,acetate,3.41e-03,2.14e-03,-6.83e-03,-2.01e-05
47,1304,R91,acetateExt,-3.10e-04,-1.94e-04,6.20e-04,1.83e-06
48,1323,R91,acetate,4.35e-03,5.05e-04,-6.35e-04,-2.19e-06
49,1323,R91,acetateExt,-3.95e-04,-4.58e-05,5.76e-05,1.99e-07
50,1346,R91,acetate,3.91e-03,2.49e-03,-7.98e-03,-2.53e-05
51,1346,R91,acetateExt,-3.55e-04,-2.26e-04,7.24e-04,2.30e-06
52,1365,R91,acetate,2.34e-02,7.69e-04,-3.19e-04,-4.02e-06
53,1365,R91,acetateExt,-2.13e-03,-6.98e-05,2.90e-05,3.65e-07
54,1367,R91,acetate,2.35e-02,7.74e-04,-3.22e-04,-4.06e-06
55,1367,R91,acetateExt,-2.13e-03,-7.03e-05,2.93e-05,3.69e-07
56,1370,R91,acetate,1.39e-02,1.85e-03,-2.60e-03,-1.82e-05
57,1370,R91,acetateExt,-1.26e-03,-1.68e-04,2.36e-04,1.66e-06
58,1371,R91,acetate,1.38e-02,1.84e-03,-2.59e-03,-1.81e-05
59,1371,R91,acetateExt,-1.25e-03,-1.67e-04,2.35e-04,1.65e-06
60,1407,R91,acetate,4.39e-03,5.10e-04,-6.43e-04,-2.24e-06
61,1407,R91,acetateExt,-3.99e-04,-4.64e-05,5.84e-05,2.03e-07
62,1431,R91,acetate,3.97e-03,2.51e-03,-8.04e-03,-2.60e-05
63,1431,R91,acetateExt,-3.60e-04,-2.28e-04,7.30e-04,2.36e-06
64,1449,R91,acetate,4.46e-03,5.19e-04,-6.55e-04,-2.30e-06
65,1449,R91,acetateExt,-4.04e-04,-4.71e-05,5.94e-05,2.09e-07
66,1478,R91,acetate,4.65e-03,5.39e-04,-6.77e-04,-2.41e-06
67,1478,R91,acetateExt,-4.22e-04,-4.89e-05,6.15e-05,2.19e-07
68,1479,R91,acetate,4.07e-03,2.55e-03,-8.15e-03,-2.68e-05
69,1479,R91,acetateExt,-3.70e-04,-2.31e-04,7.40e-04,2.43e-06
70,1503,R91,acetate,4.30e-03,2.59e-03,-8.20e-03,-2.72e-05
71,1503,R91,acetateExt,-3.91e-04,-2.35e-04,7.44e-04,2.47e-06
72,1555,R91,acetate,8.06e-05,7.89e-06,-8.66e-06,-1.09e-09
73,1555,R91,acetateExt,-7.32e-06,-7.17e-07,7.86e-07,9.92e-11
74,1563,R91,acetate,3.29e-04,1.96e-04,-6.21e-04,-1.32e-07
75,1563,R91,acetateExt,-2.99e-05,-1.78e-05,5.64e-05,1.20e-08
76,165,R91,acetate,4.49e-03,5.18e-04,-6.49e-04,-2.30e-06
77,165,R91,acetateExt,-4.08e-04,-4.71e-05,5.89e-05,2.09e-07
78,190,R91,acetate,4.65e-03,5.30e-04,-6.58e-04,-2.38e-06
79,190,R91,acetateExt,-4.22e-04,-4.82e-05,5.97e-05,2.16e-07
80,195,R91,acetate,4.09e-03,2.53e-03,-8.09e-03,-2.67e-05
81,195,R91,acetateExt,-3.71e-04,-2.30e-04,7.34e-04,2.42e-06
82,203,R91,acetate,4.27e-03,2.54e-03,-8.02e-03,-2.69e-05
83,203,R91,acetateExt,-3.88e-04,-2.31e-04,7.28e-04,2.44e-06
84,259,R91,acetate,2.93e-03,1.00e-04,-4.32e-05,-1.06e-07
85,259,R91,acetateExt,-2.66e-04,-9.10e-06,3.92e-06,9.60e-09
86,270,R91,acetate,2.17e-03,3.20e-04,-4.86e-04,-5.42e-07
87,270,R91,acetateExt,-1.97e-04,-2.91e-05,4.41e-05,4.93e-08
88,278,R91,acetate,1.62e-03,1.67e-04,-1.92e-04,-3.28e-07
89,278,R91,acetateExt,-1.47e-04,-1.52e-05,1.74e-05,2.98e-08
90,282,R91,acetate,1.95e-03,1.19e-03,-3.77e-03,-5.08e-06
91,282,R91,acetateExt,-1.77e-04,-1.08e-04,3.42e-04,4.62e-07
92,291,R91,acetate,1.60e-03,1.75e-04,-2.09e-04,-3.86e-07
93,291,R91,acetateExt,-1.45e-04,-1.59e-05,1.90e-05,3.51e-08
94,297,R91,acetate,2.16e-03,1.51e-03,-4.93e-03,-7.36e-06
95,297,R91,acetateExt,-1.96e-04,-1.37e-04,4.48e-04,6.69e-07
96,307,R91,acetate,1.66e-02,1.04e-03,-7.86e-04,-6.37e-06
97,307,R91,acetateExt,-1.50e-03,-9.48e-05,7.14e-05,5.79e-07
