,efm,reaction,kcat,dq/dk,dlogq/dlogk
0,1003,R22,3.59e+02,1.84e-06,1.13e-03
1,1003,R21,3.77e+01,4.56e-04,2.94e-02
2,1003,R3,1.15e+02,6.81e-04,1.34e-01
3,1003,R27,7.81e+01,7.06e-04,9.44e-02
4,1003,R9,5.13e+02,2.78e-06,2.44e-03
5,1003,R7rb,3.90e+02,7.51e-05,5.01e-02
6,1003,R24,1.08e+02,2.94e-06,5.46e-04
7,1003,R23r,3.26e+01,3.22e-05,1.80e-03
8,1003,R40,1.23e+02,1.54e-05,3.25e-03
9,1003,R6r,7.84e+03,3.79e-06,5.08e-02
10,1003,R5r,7.99e+00,1.18e-02,1.61e-01
11,1003,R15r,7.53e+01,2.82e-05,3.63e-03
12,1003,R14r,1.67e+01,1.78e-05,5.11e-04
13,1003,R2r,3.22e+02,5.13e-05,2.82e-02
14,1003,R27b,1.79e+02,2.01e-04,6.17e-02
15,1003,R7ra,2.33e+02,3.96e-04,1.58e-01
16,1003,R7rc,5.31e+01,5.16e-04,4.69e-02
17,1003,R13r,4.64e+01,1.10e-05,8.71e-04
18,1003,R1,1.04e+02,5.27e-04,9.37e-02
19,1003,R94,1.00e+02,1.35e-04,2.31e-02
20,1003,R53r,1.39e+02,6.66e-05,1.59e-02
21,1003,R93,9.97e+01,9.29e-06,1.58e-03
22,1003,R8r,2.11e+02,1.02e-04,3.67e-02
23,1003,R12r,1.36e+03,7.27e-08,1.69e-04
24,1003,R11r,1.34e+02,1.53e-06,3.51e-04
25,1003,R70,9.95e+01,2.98e-06,5.07e-04
0,1005,R22,3.59e+02,1.28e-06,1.10e-03
1,1005,R21,3.77e+01,3.19e-04,2.89e-02
2,1005,R3,1.15e+02,3.26e-04,8.99e-02
3,1005,R9,5.13e+02,2.64e-06,3.25e-03
4,1005,R80,4.00e+06,2.19e-10,2.10e-03
5,1005,R7rb,3.90e+02,5.36e-05,5.01e-02
6,1005,R24,1.08e+02,1.92e-06,4.98e-04
7,1005,R23r,3.26e+01,2.80e-05,2.19e-03
8,1005,R40,1.23e+02,1.25e-05,3.69e-03
9,1005,R6r,7.84e+03,3.40e-06,6.38e-02
10,1005,R5r,7.99e+00,1.08e-02,2.07e-01
11,1005,R15r,7.53e+01,2.89e-05,5.21e-03
12,1005,R14r,1.67e+01,1.89e-05,7.57e-04
13,1005,R2r,3.22e+02,3.16e-05,2.44e-02
14,1005,R7ra,2.33e+02,3.54e-04,1.98e-01
15,1005,R7rc,5.31e+01,4.59e-04,5.85e-02
16,1005,R13r,4.64e+01,1.14e-05,1.26e-03
17,1005,R1,1.04e+02,4.68e-04,1.17e-01
18,1005,R94,1.00e+02,1.52e-04,3.64e-02
19,1005,R53r,1.39e+02,1.76e-04,5.88e-02
20,1005,R93,9.97e+01,9.29e-06,2.22e-03
21,1005,R8r,2.11e+02,8.68e-05,4.39e-02
22,1005,R12r,1.36e+03,7.72e-08,2.52e-04
23,1005,R11r,1.34e+02,1.60e-06,5.13e-04
24,1005,R70,9.95e+01,3.52e-06,8.38e-04
0,1014,R22,3.59e+02,5.39e-05,1.79e-02
1,1014,R21,3.77e+01,3.40e-03,1.18e-01
2,1014,R26r,8.92e+01,2.03e-04,1.67e-02
3,1014,R3,1.15e+02,2.43e-06,2.58e-04
4,1014,RR9,1.32e+01,1.70e-02,2.07e-01
5,1014,R80,4.00e+06,6.53e-09,2.41e-02
6,1014,R7rb,3.90e+02,7.06e-05,2.54e-02
7,1014,R25,1.51e+02,5.49e-04,7.62e-02
8,1014,R24,1.08e+02,1.29e-04,1.29e-02
9,1014,R23r,3.26e+01,1.13e-03,3.40e-02
10,1014,R10c,1.10e+02,3.38e-06,3.44e-04
11,1014,R40,1.23e+02,6.99e-04,7.95e-02
12,1014,R6r,7.84e+03,2.43e-08,1.76e-04
13,1014,R5r,7.99e+00,7.40e-05,5.45e-04
14,1014,R14r,1.67e+01,1.30e-04,2.01e-03
15,1014,R28r,2.82e+02,4.78e-05,1.24e-02
16,1014,R27b,1.79e+02,3.64e-04,6.03e-02
17,1014,R7ra,2.33e+02,3.01e-04,6.48e-02
18,1014,R7rc,5.31e+01,4.57e-04,2.24e-02
19,1014,R13r,4.64e+01,3.17e-06,1.36e-04
20,1014,R61r,7.99e+01,1.38e-03,1.02e-01
21,1014,R10a,2.41e+02,5.09e-05,1.13e-02
22,1014,R1,1.04e+02,5.21e-04,5.00e-02
23,1014,R10b,4.10e+02,2.05e-05,7.74e-03
24,1014,R60,2.47e+02,4.52e-05,1.03e-02
25,1014,R29r,2.11e+02,1.85e-05,3.61e-03
26,1014,R93,9.97e+01,9.29e-06,8.55e-04
27,1014,R8r,2.11e+02,9.56e-05,1.86e-02
28,1014,R12r,1.36e+03,1.30e-08,1.64e-05
29,1014,R11r,1.34e+02,2.49e-07,3.08e-05
30,1014,R95,1.00e+02,2.13e-04,1.96e-02
31,1014,R70,9.95e+01,8.63e-07,7.92e-05
0,1015,R91,1.00e+02,1.64e-04,5.37e-03
1,1015,R55b,5.88e+01,6.90e-04,1.33e-02
2,1015,R55a,9.13e+01,6.79e-04,2.03e-02
3,1015,R22,3.59e+02,8.63e-06,1.01e-03
4,1015,R21,3.77e+01,8.69e-03,1.07e-01
5,1015,R3,1.15e+02,4.48e-06,1.68e-04
6,1015,R27,7.81e+01,1.23e-02,3.13e-01
7,1015,RR9,1.32e+01,2.64e-02,1.14e-01
8,1015,R7rb,3.90e+02,2.28e-04,2.90e-02
9,1015,R24,1.08e+02,1.79e-05,6.34e-04
10,1015,R23r,3.26e+01,6.67e-05,7.10e-04
11,1015,R10c,1.10e+02,8.87e-06,3.19e-04
12,1015,R40,1.23e+02,1.06e-03,4.28e-02
13,1015,R6r,7.84e+03,2.84e-08,7.26e-05
14,1015,R5r,7.99e+00,8.31e-05,2.17e-04
15,1015,R14r,1.67e+01,1.33e-04,7.29e-04
16,1015,R28r,2.82e+02,5.94e-05,5.47e-03
17,1015,R27b,1.79e+02,1.70e-03,9.94e-02
18,1015,R7ra,2.33e+02,7.07e-04,5.39e-02
19,1015,R7rc,5.31e+01,6.84e-04,1.19e-02
20,1015,R13r,4.64e+01,7.90e-06,1.20e-04
21,1015,R61r,7.99e+01,3.50e-03,9.14e-02
22,1015,R10a,2.41e+02,1.58e-04,1.25e-02
23,1015,R1,1.04e+02,1.17e-03,3.97e-02
24,1015,R10b,4.10e+02,7.35e-05,9.84e-03
25,1015,R60,2.47e+02,1.36e-04,1.10e-02
26,1015,R29r,2.11e+02,1.82e-05,1.25e-03
27,1015,R93,9.97e+01,9.29e-06,3.03e-04
28,1015,R8r,2.11e+02,1.47e-04,1.01e-02
29,1015,R12r,1.36e+03,3.86e-08,1.72e-05
30,1015,R11r,1.34e+02,7.52e-07,3.29e-05
31,1015,R95,1.00e+02,1.12e-04,3.66e-03
32,1015,R70,9.95e+01,2.21e-06,7.17e-05
0,1016,R91,1.00e+02,8.22e-05,1.10e-02
1,1016,R55b,5.88e+01,3.48e-04,2.74e-02
2,1016,R55a,9.13e+01,2.73e-04,3.34e-02
3,1016,R22,3.59e+02,1.65e-06,7.93e-04
4,1016,R21,3.77e+01,4.35e-03,2.20e-01
5,1016,R3,1.15e+02,2.95e-06,4.55e-04
6,1016,RR9,1.32e+01,9.12e-03,1.62e-01
7,1016,R80,4.00e+06,3.34e-09,1.79e-02
8,1016,R7rb,3.90e+02,5.29e-05,2.77e-02
9,1016,R24,1.08e+02,2.92e-06,4.25e-04
10,1016,R23r,3.26e+01,3.04e-05,1.33e-03
11,1016,R10c,1.10e+02,3.54e-06,5.22e-04
12,1016,R40,1.23e+02,3.67e-04,6.05e-02
13,1016,R6r,7.84e+03,2.01e-08,2.11e-04
14,1016,R5r,7.99e+00,6.46e-05,6.91e-04
15,1016,R14r,1.67e+01,1.52e-04,3.40e-03
16,1016,R28r,2.82e+02,3.95e-05,1.49e-02
17,1016,R27b,1.79e+02,2.42e-04,5.81e-02
18,1016,R7ra,2.33e+02,2.55e-04,7.98e-02
19,1016,R7rc,5.31e+01,3.32e-04,2.36e-02
20,1016,R13r,4.64e+01,3.35e-06,2.08e-04
21,1016,R61r,7.99e+01,1.13e-03,1.21e-01
22,1016,R10a,2.41e+02,4.40e-05,1.42e-02
23,1016,R1,1.04e+02,4.33e-04,6.03e-02
24,1016,R10b,4.10e+02,1.84e-05,1.01e-02
25,1016,R60,2.47e+02,3.91e-05,1.30e-02
26,1016,R29r,2.11e+02,1.66e-05,4.70e-03
27,1016,R93,9.97e+01,9.29e-06,1.24e-03
28,1016,R8r,2.11e+02,6.82e-05,1.93e-02
29,1016,R12r,1.36e+03,1.44e-08,2.62e-05
30,1016,R11r,1.34e+02,2.74e-07,4.92e-05
31,1016,R95,1.00e+02,8.99e-05,1.20e-02
32,1016,R70,9.95e+01,1.24e-06,1.65e-04
0,1018,R22,3.59e+02,6.46e-05,1.47e-02
1,1018,R21,3.77e+01,1.83e-03,4.37e-02
2,1018,R26r,8.92e+01,1.73e-04,9.79e-03
3,1018,R3,1.15e+02,5.60e-06,4.09e-04
4,1018,R27,7.81e+01,1.03e-02,5.12e-01
5,1018,RR9,1.32e+01,8.65e-03,7.27e-02
6,1018,R7rb,3.90e+02,6.77e-05,1.68e-02
7,1018,R25,1.51e+02,4.13e-04,3.94e-02
8,1018,R24,1.08e+02,2.11e-04,1.45e-02
9,1018,R23r,3.26e+01,8.00e-04,1.65e-02
10,1018,R10c,1.10e+02,9.14e-06,6.39e-04
11,1018,R40,1.23e+02,3.90e-04,3.04e-02
12,1018,R6r,7.84e+03,2.67e-08,1.33e-04
13,1018,R5r,7.99e+00,7.83e-05,3.97e-04
14,1018,R14r,1.67e+01,2.07e-04,2.19e-03
15,1018,R27b,1.79e+02,7.67e-04,8.72e-02
16,1018,R7ra,2.33e+02,2.32e-04,3.44e-02
17,1018,R7rc,5.31e+01,1.40e-04,4.71e-03
18,1018,R13r,4.64e+01,8.53e-06,2.51e-04
19,1018,R61r,7.99e+01,1.12e-03,5.67e-02
20,1018,R10a,2.41e+02,4.32e-05,6.60e-03
21,1018,R1,1.04e+02,2.92e-04,1.93e-02
22,1018,R10b,4.10e+02,2.05e-05,5.32e-03
23,1018,R60,2.47e+02,3.46e-05,5.43e-03
24,1018,R93,9.97e+01,9.29e-06,5.87e-04
25,1018,R8r,2.11e+02,2.94e-05,3.94e-03
26,1018,R12r,1.36e+03,3.97e-08,3.43e-05
27,1018,R11r,1.34e+02,7.67e-07,6.52e-05
28,1018,R95,1.00e+02,2.03e-05,1.29e-03
29,1018,R70,9.95e+01,1.39e-06,8.78e-05
0,1019,R22,3.59e+02,1.05e-06,3.13e-03
1,1019,R21,3.77e+01,1.80e-04,5.66e-02
2,1019,R3,1.15e+02,2.25e-05,2.16e-02
3,1019,RR9,1.32e+01,4.93e-04,5.45e-02
4,1019,R80,4.00e+06,3.42e-09,1.14e-01
5,1019,R7rb,3.90e+02,4.94e-06,1.61e-02
6,1019,R24,1.08e+02,1.77e-06,1.60e-03
7,1019,R23r,3.26e+01,2.58e-05,7.02e-03
8,1019,R10c,1.10e+02,6.16e-05,5.66e-02
9,1019,R40,1.23e+02,1.22e-05,1.26e-02
10,1019,R6r,7.84e+03,3.02e-07,1.97e-02
11,1019,R5r,7.99e+00,7.80e-04,5.20e-02
12,1019,R15r,7.53e+01,5.18e-05,3.25e-02
13,1019,R14r,1.67e+01,2.19e-03,3.06e-01
14,1019,R2r,3.22e+02,3.50e-06,9.40e-03
15,1019,R7ra,2.33e+02,2.39e-05,4.66e-02
16,1019,R7rc,5.31e+01,4.45e-05,1.97e-02
17,1019,R13r,4.64e+01,7.13e-05,2.76e-02
18,1019,R10a,2.41e+02,1.46e-05,2.94e-02
19,1019,R1,1.04e+02,6.57e-05,5.70e-02
20,1019,R10b,4.10e+02,5.67e-06,1.94e-02
21,1019,R93,9.97e+01,9.29e-06,7.73e-03
22,1019,R8r,2.11e+02,8.28e-06,1.46e-02
23,1019,R12r,1.36e+03,1.39e-07,1.58e-03
24,1019,R11r,1.34e+02,1.05e-05,1.18e-02
25,1019,R70,9.95e+01,1.46e-06,1.21e-03
0,102,R22,3.59e+02,2.34e-06,1.93e-03
1,102,R21,3.77e+01,7.54e-04,6.51e-02
2,102,RR9,1.32e+01,2.60e-03,7.89e-02
3,102,R80,4.00e+06,1.08e-10,9.86e-04
4,102,R7rb,3.90e+02,4.58e-05,4.10e-02
5,102,R24,1.08e+02,3.02e-06,7.50e-04
6,102,R23r,3.26e+01,3.69e-05,2.76e-03
7,102,R10c,1.10e+02,9.41e-07,2.37e-04
8,102,R40,1.23e+02,3.62e-05,1.02e-02
9,102,R6r,7.84e+03,4.93e-09,8.86e-05
10,102,R5r,7.99e+00,6.89e-06,1.26e-04
11,102,R15r,7.53e+01,7.77e-06,1.34e-03
12,102,R4,2.54e+01,5.99e-06,3.49e-04
13,102,R28r,2.82e+02,2.09e-06,1.35e-03
14,102,R27b,1.79e+02,1.91e-05,7.85e-03
15,102,R7ra,2.33e+02,1.98e-04,1.06e-01
16,102,R7rc,5.31e+01,4.49e-04,5.46e-02
17,102,R61r,7.99e+01,8.14e-04,1.49e-01
18,102,R10a,2.41e+02,6.65e-05,3.67e-02
19,102,R1,1.04e+02,7.86e-04,1.87e-01
20,102,R10b,4.10e+02,2.54e-05,2.38e-02
21,102,R60,2.47e+02,5.95e-05,3.37e-02
22,102,R94,1.00e+02,3.45e-04,7.91e-02
23,102,R53r,1.39e+02,2.34e-04,7.48e-02
