efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
100,0.0,0.0,0.0,0.0,-5.0,55.0,3567.0,15.0,139.0,0.0,1865.0,1888.0,1888.0,8.0,-15.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1892.0,0.0,15.0,14.0,0.0,0.0,112.0,3567.0,0.0,0.0,-15.0,1865.0,1865.0,1865.0,0.0,53.0,-5.0,0.0,-5.0,0.0,14.0,14.0,0.0,55.0,1880.0,1880.0
105,29.0,29.0,0.0,0.0,-5.0,0.0,3703.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,3703.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,84.0,0.0,1990.0,1990.0
106,0.0,0.0,0.0,0.0,-5.0,0.0,3732.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,3732.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,55.0,0.0,1990.0,1990.0
107,3522.0,3522.0,0.0,876.75,-5.0,4453.75,0.0,876.75,139.0,0.0,2711.75,2734.75,2734.75,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2738.75,0.0,0.0,890.75,0.0,0.0,973.75,0.0,0.0,0.0,0.0,2711.75,2711.75,2711.75,0.0,914.75,-5.0,0.0,-5.0,876.75,890.75,890.75,0.0,4453.75,2726.75,2726.75
113,933.75,933.75,0.0,14.0,-5.0,1865.5,0.0,14.0,139.0,862.75,986.25,1009.25,1009.25,8.0,0.0,0.0,1.0,5.0,0.0,862.75,862.75,5.0,13.0,1013.25,0.0,0.0,28.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,986.25,986.25,986.25,0.0,52.0,-5.0,0.0,-5.0,14.0,28.0,28.0,0.0,1865.5,1001.25,1001.25
114,71.0,71.0,0.0,14.0,-5.0,140.0,3451.0,14.0,139.0,0.0,1849.0,1872.0,1872.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1876.0,0.0,0.0,28.0,0.0,0.0,111.0,3451.0,0.0,0.0,0.0,1849.0,1849.0,1849.0,0.0,52.0,-5.0,0.0,-5.0,14.0,28.0,28.0,0.0,140.0,1864.0,1864.0
126,3732.0,3732.0,0.0,0.0,-5.0,0.0,0.0,70.0,139.0,0.0,1975.0,1998.0,1998.0,8.0,-70.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,2002.0,0.0,70.0,14.0,0.0,0.0,167.0,0.0,0.0,0.0,-70.0,1975.0,1975.0,1975.0,0.0,108.0,-5.0,0.0,-5.0,0.0,14.0,14.0,3787.0,0.0,1990.0,1990.0
136,3718.667,3718.667,-2.667,0.0,-7.667,0.0,0.0,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,0.0,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,3773.667,0.0,1982.0,1982.0
137,21.0,21.0,-2.667,0.0,-7.667,0.0,3697.667,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,3697.667,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,76.0,0.0,1982.0,1982.0
140,0.0,0.0,-2.667,0.0,-7.667,0.0,3718.667,54.0,139.0,0.0,1953.667,1982.0,1982.0,0.0,-54.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1986.0,0.0,54.0,14.0,0.0,-2.667,156.333,3718.667,0.0,0.0,-54.0,1953.667,1953.667,1953.667,0.0,92.0,-10.333,0.0,-10.333,0.0,14.0,14.0,55.0,0.0,1982.0,1982.0
